START	rep1_1ors_01	on 2017 June 10 at 00:06:40
TIME	parts_555_to_555_interaction_energies	283.38
TIME	parts_556_to_556_interaction_energies	283.54
TIME	parts_557_to_557_interaction_energies	283.18
TIME	parts_559_to_559_interaction_energies	280.75
TIME	parts_558_to_558_interaction_energies	280.93
TIME	parts_561_to_561_interaction_energies	276.09
TIME	parts_560_to_560_interaction_energies	286.71
TIME	parts_562_to_562_interaction_energies	278.6
TIME	parts_563_to_563_interaction_energies	280.97
TIME	parts_564_to_564_interaction_energies	281.83
TIME	parts_494_to_494_interaction_energies	280.13
TIME	parts_577_to_577_interaction_energies	199.55
TIME	parts_578_to_578_interaction_energies	195.37
TIME	parts_495_to_495_interaction_energies	289.26
TIME	parts_496_to_496_interaction_energies	295.01
TIME	parts_497_to_497_interaction_energies	283.09
TIME	parts_579_to_579_interaction_energies	198.65
TIME	parts_498_to_498_interaction_energies	287.72
TIME	parts_581_to_581_interaction_energies	196.72
TIME	parts_580_to_580_interaction_energies	197.1
TIME	parts_499_to_499_interaction_energies	292.31
TIME	parts_500_to_500_interaction_energies	286.92
TIME	parts_582_to_582_interaction_energies	193.49
TIME	parts_501_to_501_interaction_energies	277.94
TIME	parts_583_to_583_interaction_energies	199.91
TIME	parts_584_to_584_interaction_energies	196.18
TIME	parts_585_to_585_interaction_energies	196.05
TIME	parts_586_to_586_interaction_energies	197.78
TIME	parts_587_to_587_interaction_energies	192.25
TIME	parts_650_to_650_interaction_energies	194.23
TIME	parts_653_to_653_interaction_energies	193.43
TIME	parts_652_to_652_interaction_energies	193.69
TIME	parts_651_to_651_interaction_energies	198.76
TIME	parts_649_to_649_interaction_energies	199.52
TIME	parts_654_to_654_interaction_energies	198.58
TIME	parts_655_to_655_interaction_energies	195.29
TIME	parts_656_to_656_interaction_energies	198.98
TIME	parts_658_to_658_interaction_energies	196.77
TIME	parts_659_to_659_interaction_energies	196.64
TIME	parts_657_to_657_interaction_energies	194.88
TIME	parts_503_to_503_interaction_energies	278.5
TIME	parts_504_to_504_interaction_energies	281.25
TIME	parts_505_to_505_interaction_energies	288.83
TIME	parts_506_to_506_interaction_energies	283.45
TIME	parts_507_to_507_interaction_energies	283.92
TIME	parts_671_to_671_interaction_energies	195.1
TIME	parts_672_to_672_interaction_energies	199.77
TIME	parts_734_to_734_interaction_energies	200.51
TIME	parts_735_to_735_interaction_energies	197.94
TIME	parts_736_to_736_interaction_energies	200.13
TIME	parts_738_to_738_interaction_energies	195.19
TIME	parts_737_to_737_interaction_energies	196.02
TIME	parts_739_to_739_interaction_energies	196.18
TIME	parts_508_to_508_interaction_energies	285.17
TIME	parts_509_to_509_interaction_energies	292.3
TIME	parts_589_to_589_interaction_energies	197.87
TIME	parts_588_to_588_interaction_energies	195.6
TIME	parts_590_to_590_interaction_energies	199.96
TIME	parts_591_to_591_interaction_energies	195.87
TIME	parts_593_to_593_interaction_energies	194.3
TIME	parts_592_to_592_interaction_energies	194.22
TIME	parts_745_to_745_interaction_energies	195.62
TIME	parts_747_to_747_interaction_energies	196.89
TIME	parts_746_to_746_interaction_energies	197.07
TIME	parts_808_to_808_interaction_energies	282.67
