START	1nsn_2017-08-24_2	on 2017 August 24 at 15:43:08
TIME	parts_493_to_493_interaction_energies	198.34
TIME	parts_563_to_563_interaction_energies	191.74
TIME	parts_526_to_526_interaction_energies	192.63
TIME	parts_494_to_494_interaction_energies	198.12
TIME	parts_492_to_492_interaction_energies	198.84
TIME	parts_507_to_507_interaction_energies	193.83
TIME	parts_519_to_519_interaction_energies	192.87
TIME	parts_521_to_521_interaction_energies	192.75
TIME	parts_520_to_520_interaction_energies	192.74
TIME	parts_564_to_564_interaction_energies	194.58
TIME	parts_509_to_509_interaction_energies	193.97
TIME	parts_541_to_541_interaction_energies	193.39
TIME	parts_565_to_565_interaction_energies	194.85
TIME	parts_506_to_506_interaction_energies	195.48
TIME	parts_503_to_503_interaction_energies	194.25
TIME	parts_502_to_502_interaction_energies	194.38
TIME	parts_504_to_504_interaction_energies	195.94
TIME	parts_505_to_505_interaction_energies	196.28
TIME	parts_522_to_522_interaction_energies	196.08
TIME	parts_523_to_523_interaction_energies	196.45
TIME	parts_524_to_524_interaction_energies	197.1
